date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 12:00:00,NA,NA,NA,NA,0.2,9,NA,NA
2020-03-02 13:00:00,NA,NA,NA,NA,0.3,12,NA,NA
2020-03-02 14:00:00,NA,NA,NA,NA,0.2,7,NA,NA
2020-03-02 15:00:00,NA,NA,NA,NA,0.2,8,NA,NA
2020-03-02 16:00:00,NA,NA,NA,NA,0.2,10,NA,NA
2020-03-02 17:00:00,NA,NA,NA,NA,0.3,5,NA,NA
2020-03-02 18:00:00,NA,2,20,12,0.3,10,NA,Cerqueira César
2020-03-02 19:00:00,NA,0,21,12,0.3,8,NA,Cerqueira César
2020-03-02 20:00:00,NA,0,19,10,0.3,5,NA,Cerqueira César
2020-03-02 21:00:00,NA,0,12,6,0.2,5,NA,Cerqueira César
2020-03-02 22:00:00,NA,0,11,6,0.2,1,NA,Cerqueira César
2020-03-02 23:00:00,NA,1,11,6,0.2,7,NA,Cerqueira César
2020-03-03 00:00:00,NA,0,10,5,0.2,1,NA,Cerqueira César
2020-03-03 01:00:00,NA,NA,NA,NA,0.1,3,NA,NA
2020-03-03 02:00:00,NA,0,3,2,0.1,3,NA,Cerqueira César
2020-03-03 03:00:00,NA,0,2,1,0.1,4,NA,Cerqueira César
2020-03-03 04:00:00,NA,0,0,0,0.1,1,NA,Cerqueira César
2020-03-03 05:00:00,NA,0,0,0,NA,3,NA,Cerqueira César
2020-03-03 06:00:00,NA,0,5,3,0.1,6,NA,Cerqueira César
2020-03-03 07:00:00,NA,0,14,8,0.2,3,NA,Cerqueira César
2020-03-03 08:00:00,NA,4,22,15,0.3,4,NA,Cerqueira César
2020-03-03 09:00:00,NA,6,25,18,0.3,3,NA,Cerqueira César
2020-03-03 10:00:00,NA,10,23,21,0.3,6,NA,Cerqueira César
2020-03-03 11:00:00,NA,5,19,14,0.3,9,NA,Cerqueira César
2020-03-03 12:00:00,NA,3,17,11,0.3,6,NA,Cerqueira César
2020-03-03 13:00:00,NA,3,15,11,0.3,10,NA,Cerqueira César
2020-03-03 14:00:00,NA,1,11,7,0.2,7,NA,Cerqueira César
2020-03-03 15:00:00,NA,2,16,11,0.2,12,NA,Cerqueira César
2020-03-03 16:00:00,NA,2,14,9,0.2,11,NA,Cerqueira César
2020-03-03 17:00:00,NA,3,17,12,0.2,7,NA,Cerqueira César
2020-03-03 18:00:00,NA,2,17,10,0.2,7,NA,Cerqueira César
2020-03-03 19:00:00,NA,0,14,8,0.2,7,NA,Cerqueira César
2020-03-03 20:00:00,NA,0,14,7,0.2,3,NA,Cerqueira César
2020-03-03 21:00:00,NA,0,15,8,0.2,7,NA,Cerqueira César
2020-03-03 22:00:00,NA,1,16,9,0.2,9,NA,Cerqueira César
2020-03-03 23:00:00,NA,0,14,8,0.1,7,NA,Cerqueira César
2020-03-04 00:00:00,NA,0,8,4,0.1,5,NA,Cerqueira César
2020-03-04 01:00:00,NA,NA,NA,NA,0.1,9,NA,NA
2020-03-04 02:00:00,NA,0,9,5,0.1,9,NA,Cerqueira César
2020-03-04 03:00:00,NA,0,6,3,0,8,NA,Cerqueira César
2020-03-04 04:00:00,NA,0,11,6,0.1,13,NA,Cerqueira César
2020-03-04 05:00:00,NA,1,5,3,NA,7,NA,Cerqueira César
2020-03-04 06:00:00,NA,0,9,5,0.1,7,NA,Cerqueira César
2020-03-04 07:00:00,NA,1,19,11,0.2,7,NA,Cerqueira César
2020-03-04 08:00:00,NA,10,27,22,0.3,10,NA,Cerqueira César
2020-03-04 09:00:00,NA,7,23,18,0.3,19,NA,Cerqueira César
2020-03-04 10:00:00,NA,4,19,13,NA,15,NA,Cerqueira César
2020-03-04 11:00:00,NA,NA,NA,NA,NA,16,NA,NA
2020-03-04 12:00:00,NA,NA,NA,NA,0.3,20,NA,NA
2020-03-04 13:00:00,NA,NA,NA,NA,0.4,21,NA,NA
2020-03-04 14:00:00,NA,0,14,8,0.4,21,NA,Cerqueira César
2020-03-04 15:00:00,NA,0,15,8,0.3,16,NA,Cerqueira César
2020-03-04 16:00:00,NA,1,15,9,0.3,19,NA,Cerqueira César
2020-03-04 17:00:00,NA,0,13,7,0.3,21,NA,Cerqueira César
2020-03-04 18:00:00,NA,0,9,5,0.2,12,NA,Cerqueira César
2020-03-04 19:00:00,NA,0,15,8,0.3,20,NA,Cerqueira César
2020-03-04 20:00:00,NA,1,14,8,0.3,14,NA,Cerqueira César
2020-03-04 21:00:00,NA,0,10,5,0.3,15,NA,Cerqueira César
2020-03-04 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04 23:00:00,NA,0,13,7,NA,NA,NA,Cerqueira César
2020-03-05 00:00:00,NA,0,18,10,0.3,16,NA,Cerqueira César
2020-03-05 01:00:00,NA,NA,NA,NA,0.3,15,NA,NA
2020-03-05 02:00:00,NA,3,21,13,0.3,22,NA,Cerqueira César
2020-03-05 03:00:00,NA,1,18,10,0.3,21,NA,Cerqueira César
2020-03-05 04:00:00,NA,2,17,11,0.2,21,NA,Cerqueira César
2020-03-05 05:00:00,NA,0,17,9,NA,23,NA,Cerqueira César
2020-03-05 06:00:00,NA,0,18,10,0.1,21,NA,Cerqueira César
2020-03-05 07:00:00,NA,4,24,15,0.3,18,NA,Cerqueira César
2020-03-05 08:00:00,NA,9,26,21,0.3,15,NA,Cerqueira César
2020-03-05 09:00:00,NA,12,28,24,0.3,18,NA,Cerqueira César
2020-03-05 10:00:00,NA,NA,NA,NA,0.4,18,NA,NA
2020-03-05 11:00:00,NA,6,21,16,0.2,16,NA,Cerqueira César
2020-03-05 12:00:00,NA,3,12,9,0.2,21,NA,Cerqueira César
2020-03-05 13:00:00,NA,3,11,8,0.1,15,NA,Cerqueira César
2020-03-05 14:00:00,NA,0,3,2,0.1,13,NA,Cerqueira César
2020-03-05 15:00:00,NA,1,4,2,0.2,16,NA,Cerqueira César
2020-03-05 16:00:00,NA,2,10,7,0.2,16,NA,Cerqueira César
2020-03-05 17:00:00,NA,1,7,5,0.2,15,NA,Cerqueira César
2020-03-05 18:00:00,NA,1,11,6,0.2,12,NA,Cerqueira César
2020-03-05 19:00:00,NA,1,16,9,0.2,11,NA,Cerqueira César
2020-03-05 20:00:00,NA,1,11,6,0.2,8,NA,Cerqueira César
2020-03-05 21:00:00,NA,0,9,5,0.2,10,NA,Cerqueira César
2020-03-05 22:00:00,NA,0,5,2,0.1,11,NA,Cerqueira César
2020-03-05 23:00:00,NA,0,11,6,0.2,13,NA,Cerqueira César
2020-03-06 00:00:00,NA,0,13,7,0.2,12,NA,Cerqueira César
2020-03-06 01:00:00,NA,NA,NA,NA,0.2,11,NA,NA
2020-03-06 02:00:00,NA,1,13,8,0.2,19,NA,Cerqueira César
2020-03-06 03:00:00,NA,0,7,4,0.1,16,NA,Cerqueira César
2020-03-06 04:00:00,NA,0,4,2,0.1,11,NA,Cerqueira César
2020-03-06 05:00:00,NA,0,4,2,NA,14,NA,Cerqueira César
2020-03-06 06:00:00,NA,2,11,8,0.1,12,NA,Cerqueira César
2020-03-06 07:00:00,NA,19,23,28,0.3,16,NA,Cerqueira César
2020-03-06 08:00:00,NA,21,24,30,0.4,21,NA,Cerqueira César
2020-03-06 09:00:00,NA,20,36,35,0.4,19,NA,Cerqueira César
2020-03-06 10:00:00,NA,13,40,32,0.4,25,NA,Cerqueira César
2020-03-06 11:00:00,NA,9,33,25,0.4,18,NA,Cerqueira César
2020-03-06 12:00:00,NA,5,30,19,0.4,23,NA,Cerqueira César
